dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
0.36139999389648403,0.234300003051758,0.78448275862069,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.26639999389648394,0.241800003051758,0.253164556962025,1.0,2.0,no,no,yes,yes,3.20000004768372,0,no,no
0.32209999084472696,0.27549999237060496,0.7483870967741941,2.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.23110000610351603,0.207199993133545,0.838235294117647,1.0,2.0,no,no,no,no,3.9000000953674303,0,yes,no
0.36450000762939505,0.32880001068115194,0.762962962962963,2.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.426599998474121,0.29670000076293895,0.818181818181818,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.289799995422363,0.28200000762939503,0.7727272727272729,1.0,2.0,no,no,yes,no,10.6000003814697,0,no,no
0.814199981689453,0.393300018310547,0.516528925619835,3.0,2.0,yes,no,no,yes,3.20000004768372,0,yes,no
0.371399993896484,0.318899993896484,0.8648648648648649,2.0,2.0,no,no,yes,yes,1.79999995231628,0,yes,no
0.296399993896484,0.234500007629395,0.896341463414634,1.0,2.0,no,yes,no,no,2.0,0,no,no
0.353499984741211,0.25200000762939495,0.804469273743017,1.0,2.0,no,no,no,no,2.0,0,yes,no
0.3475,0.220900001525879,0.789115646258503,2.0,2.0,no,no,no,no,3.0999999046325697,0,yes,no
0.49970001220703103,0.35529998779296895,0.93854748603352,1.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,no
0.374300003051758,0.28200000762939503,0.555555555555556,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.467700004577637,0.36799999237060493,0.87431693989071,3.0,1.0,no,no,no,no,4.30000019073486,0,yes,no
0.10430000305175802,0.0964000034332275,0.666666666666667,4.0,2.0,no,no,yes,yes,10.6000003814697,0,no,yes
0.32279998779296903,0.32279998779296903,0.8640000000000001,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.293199996948242,0.28049999237060497,0.8991596638655458,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.33560001373291,0.320800018310547,0.878048780487805,1.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.416699981689453,0.26510000228881797,0.75,5.0,1.0,no,no,no,no,3.20000004768372,0,yes,yes
0.2575,0.21450000762939497,0.625,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.357700004577637,0.141199998855591,0.6555023923444979,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.46680000305175795,0.46319999694824204,0.591715976331361,4.0,2.0,no,no,no,no,3.5999999046325697,0,no,yes
0.216000003814697,0.12399999618530301,0.32374100719424503,3.0,1.0,no,no,no,no,3.0999999046325697,0,yes,no
0.27700000762939503,0.205,0.5859375,2.0,1.0,no,no,yes,no,1.79999995231628,0,no,no
0.27,0.27,0.6511627906976739,1.0,1.0,no,no,no,no,3.5999999046325697,1,no,no
0.32,0.29,0.707692307692308,2.0,1.0,no,no,no,no,5.300000190734861,0,no,no
0.25,0.145,0.681818181818182,1.0,1.0,no,no,no,yes,1.79999995231628,1,no,no
0.505,0.20700000762939497,0.641350210970464,6.0,2.0,no,no,no,no,1.79999995231628,0,no,yes
0.32,0.13,0.401234567901235,2.0,2.0,no,no,no,no,3.9000000953674303,0,yes,no
0.355,0.345,0.6875,5.0,2.0,yes,no,yes,yes,3.20000004768372,1,yes,yes
0.31,0.29,0.8965517241379308,1.0,2.0,no,no,no,yes,1.79999995231628,0,no,no
0.3,0.11,0.47945205479452097,2.0,1.0,no,no,no,yes,4.30000019073486,0,no,no
0.19,0.15,0.18479409254431697,1.0,1.0,no,no,no,yes,3.20000004768372,0,no,no
0.18,0.15,0.8028169014084509,1.0,1.0,no,no,no,no,3.9000000953674303,0,yes,no
0.08,0.08,0.111111111111111,1.0,1.0,no,no,no,no,3.5999999046325697,0,no,no
0.36,0.35,0.736842105263158,1.0,1.0,no,no,no,no,3.5999999046325697,0,no,no
0.14,0.09,0.8,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.34,0.27,0.7939393939393941,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.34,0.27,0.55,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.32,0.12,0.8,1.0,1.0,no,no,no,no,3.9000000953674303,0,yes,no
0.19,0.08,0.154285714285714,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.32,0.11,0.482758620689655,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.73,0.71,0.606060606060606,1.0,1.0,no,no,no,yes,3.9000000953674303,0,no,no
0.58,0.52,0.8,1.0,1.0,no,no,no,no,3.9000000953674303,0,yes,no
0.3,0.3,0.7957746478873241,1.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.14,0.09,0.8698941199296999,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.26,0.16,0.135135135135135,1.0,1.0,no,no,yes,no,3.5999999046325697,0,no,no
0.43,0.33,0.35,2.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.47,0.18,1.0,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.25,0.13,0.8,2.0,1.0,no,no,no,no,3.9000000953674303,0,yes,no
0.3,0.3,0.78125,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.27,0.25,0.695652173913043,6.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.36,0.2,0.38888888888888895,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.248999996185303,0.155,0.23648648648648601,2.0,4.0,no,no,no,no,1.79999995231628,0,no,no
0.216000003814697,0.133000001907349,0.5185185185185179,3.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
1.16,0.74,0.7526881720430111,1.0,2.0,no,no,no,no,4.30000019073486,0,no,yes
0.36,0.22,0.615384615384615,3.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.27799999237060496,0.162000007629395,0.4,5.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.32,0.23,0.7448275862068969,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.287999992370605,0.206000003814697,0.747826086956522,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.4829999923706049,0.340999984741211,0.746666666666667,2.0,1.0,no,no,yes,no,4.30000019073486,0,no,no
0.312000007629395,0.22700000762939498,0.631578947368421,2.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.297000007629395,0.22200000762939498,0.5744680851063829,1.0,1.0,no,no,no,yes,3.20000004768372,0,no,no
0.344000015258789,0.344000015258789,0.7,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.36200000762939505,0.26200000762939496,0.49019607843137303,2.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.285,0.285,0.5867970660146701,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.322999992370605,0.263999996185303,0.75,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.404000015258789,0.178999996185303,0.7991452991452991,1.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.316000003814697,0.215,0.89622641509434,1.0,2.0,no,no,no,no,3.0999999046325697,0,yes,no
0.287999992370605,0.287999992370605,0.7407407407407409,4.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.3579999923706049,0.316000003814697,0.6875,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.29,0.29,0.74,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.35,0.31,0.9009009009009008,2.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.34,0.23,0.775757575757576,2.0,1.0,yes,no,no,no,3.9000000953674303,0,no,no
0.36,0.3,0.745454545454545,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.27,0.22,0.725609756097561,6.0,2.0,yes,no,no,no,10.6000003814697,0,no,yes
0.45,0.29,0.8878048780487799,6.0,2.0,yes,no,no,no,2.0,0,yes,yes
0.32,0.22,0.85,6.0,4.0,no,no,no,no,1.79999995231628,0,no,no
0.33,0.31,0.7857142857142858,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.46,0.3,0.851612903225806,6.0,2.0,yes,no,no,no,3.20000004768372,1,no,no
0.35,0.35,0.802197802197802,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.35,0.31,0.7741935483870971,6.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.39,0.28,0.698412698412698,1.0,2.0,no,no,yes,no,4.30000019073486,1,no,no
0.46,0.31,0.615384615384615,2.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.38,0.26,0.790697674418605,1.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.27,0.27,0.8,2.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.38,0.31,0.788059701492537,2.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.22,0.21,0.45161290322580605,1.0,1.0,no,no,no,no,2.0,0,no,no
0.38,0.29,0.8451612903225809,2.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.37,0.28,0.6842105263157889,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.37,0.32,0.853846153846154,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.28,0.28,0.76,2.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.25,0.21,0.6923076923076921,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.26,0.23,0.208333333333333,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.27,0.22,0.9375,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.38,0.31,0.7153846153846151,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.35,0.32,0.7515151515151508,1.0,2.0,no,no,no,no,2.0,0,no,no
0.25,0.23,0.798245614035088,5.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.38,0.32,0.796261682242991,2.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.37,0.22,0.875,1.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.27,0.26,0.6206896551724139,2.0,1.0,no,no,no,yes,3.9000000953674303,0,no,no
0.24,0.22,0.7875647668393779,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.36,0.27,0.675,1.0,4.0,no,no,no,no,10.6000003814697,0,no,no
0.23,0.23,0.619469026548673,1.0,1.0,no,no,no,yes,1.79999995231628,0,no,no
0.33,0.31,0.7133333333333329,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.28,0.28,0.6,1.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.33,0.18,0.7575757575757579,3.0,1.0,no,no,no,yes,3.0999999046325697,0,no,no
0.37,0.29,0.953333333333333,3.0,2.0,no,yes,yes,yes,4.30000019073486,0,no,yes
0.32,0.24,0.9185185185185191,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.27,0.27,0.69672131147541,1.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.28,0.28,0.9513888888888891,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.39,0.3,0.9523809523809521,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.38,0.31,0.9389312977099241,5.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.38,0.34,0.8,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.38,0.31,0.947826086956522,1.0,2.0,no,yes,no,yes,3.20000004768372,1,no,yes
0.3,0.25,0.904,6.0,2.0,no,no,no,no,2.0,0,yes,yes
0.39,0.25,0.857142857142857,6.0,2.0,no,no,no,no,2.0,0,yes,no
0.34,0.22,0.6319702602230479,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.19,0.17,0.340425531914894,1.0,2.0,no,no,yes,no,3.20000004768372,0,no,no
0.34,0.26,0.5753846153846149,6.0,3.0,yes,no,no,no,3.0999999046325697,0,no,no
0.33,0.32,0.518134715025907,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.31,0.19,0.75,5.0,2.0,no,no,yes,no,4.30000019073486,1,no,no
0.29,0.28,0.8,1.0,2.0,no,no,no,no,3.9000000953674303,1,yes,no
0.2,0.2,0.4093567251461989,4.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.45,0.34,0.545454545454545,5.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.27,0.7888888888888891,1.0,2.0,no,no,no,no,3.20000004768372,1,no,no
0.2,0.09,0.7777777777777779,1.0,1.0,no,no,yes,no,3.20000004768372,1,no,no
0.27,0.19,0.796511627906977,1.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.13,0.11,0.3541666666666671,1.0,2.0,no,no,no,yes,1.79999995231628,0,no,no
0.15,0.07,0.857142857142857,1.0,1.0,no,no,yes,no,1.79999995231628,1,no,no
0.1,0.02,0.8,1.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.38,0.24,0.562913907284768,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.22,0.13,0.7938144329896909,1.0,1.0,no,no,no,no,3.9000000953674303,1,no,no
0.22,0.21,0.6033519553072629,1.0,1.0,no,no,yes,no,4.30000019073486,0,no,no
0.13,0.12,0.8,1.0,2.0,no,no,yes,no,3.20000004768372,1,no,no
0.07,0.04,0.51219512195122,1.0,1.0,no,no,no,yes,3.9000000953674303,1,no,no
0.36,0.3,0.591054313099042,1.0,1.0,no,no,no,yes,3.0999999046325697,0,no,yes
0.36,0.3,0.591054313099042,1.0,1.0,no,no,no,yes,3.0999999046325697,0,no,yes
0.246499996185303,0.24469999313354499,0.795652173913043,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.218999996185303,0.168999996185303,0.581818181818182,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.312999992370605,0.213999996185303,0.942857142857143,5.0,2.0,no,yes,no,no,3.9000000953674303,0,no,yes
0.37700000762939506,0.288999996185303,0.7530120481927709,1.0,1.0,no,no,yes,no,10.6000003814697,0,no,no
0.12100000381469699,0.0740000009536743,0.767123287671233,1.0,1.0,no,no,yes,yes,1.79999995231628,1,no,no
0.318999996185303,0.28,0.754098360655738,1.0,1.0,no,no,no,no,3.20000004768372,1,no,no
0.35700000762939504,0.27899999618530297,0.6977611940298512,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.37799999237060494,0.213999996185303,0.7614678899082571,1.0,1.0,no,no,yes,yes,3.20000004768372,1,no,no
0.292999992370605,0.202999992370605,0.8977272727272729,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.380999984741211,0.297000007629395,0.771812080536913,1.0,2.0,no,no,no,no,4.30000019073486,1,no,no
0.232999992370605,0.2,0.6859756097560981,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.28700000762939504,0.271000003814697,0.555555555555556,1.0,1.0,no,no,no,yes,2.0,0,no,no
0.245,0.21299999237060502,0.7042253521126759,1.0,3.0,no,no,yes,no,3.20000004768372,0,no,no
0.295,0.213999996185303,0.897435897435897,2.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.39299999237060496,0.18799999237060502,0.7664233576642341,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.33,0.29,0.6493506493506489,5.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.297999992370605,0.258999996185303,0.178571428571429,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.40299999237060496,0.344000015258789,0.798107255520505,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.385999984741211,0.301000003814697,0.8620689655172409,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.38200000762939507,0.22299999237060503,0.95,6.0,2.0,no,no,no,yes,3.20000004768372,0,yes,yes
0.35200000762939504,0.26700000762939496,0.627615062761506,1.0,1.0,no,no,no,no,3.20000004768372,1,no,no
0.306000003814697,0.206000003814697,0.5714285714285711,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.400099983215332,0.311299991607666,0.767045454545455,1.0,2.0,no,no,no,no,2.0,0,no,no
0.27,0.232000007629395,0.9448818897637801,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.385,0.23,0.8005390835579509,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.21200000762939497,0.17700000762939497,0.875486381322957,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.175,0.11,0.790540540540541,2.0,1.0,no,no,no,no,3.0999999046325697,1,no,no
0.299599990844727,0.276399993896484,0.42962962962962997,1.0,2.0,no,no,no,yes,4.30000019073486,1,no,no
0.257999992370605,0.25200000762939495,0.75,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.266000003814697,0.261000003814697,0.41152263374485604,1.0,1.0,no,no,no,no,2.0,0,no,no
0.24299999237060502,0.155,0.5843621399176949,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.155,0.133000001907349,0.8,5.0,1.0,no,no,no,no,3.20000004768372,1,no,no
0.3,0.125,0.8,2.0,1.0,no,no,no,no,5.300000190734861,0,no,no
0.399000015258789,0.312000007629395,0.574712643678161,1.0,3.0,no,no,no,no,3.9000000953674303,0,no,no
0.247399997711182,0.227800006866455,0.7973568281938329,1.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.395,0.0,0.7843137254901958,5.0,1.0,no,no,yes,no,1.79999995231628,1,yes,no
0.36,0.2,0.8,1.0,2.0,no,no,no,yes,2.0,0,no,no
0.43,0.43,0.642317380352645,1.0,1.0,no,no,yes,no,3.0999999046325697,0,no,yes
0.39,0.19,0.8,1.0,1.0,no,no,no,no,5.300000190734861,0,no,no
0.33,0.27,0.7586206896551719,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.35,0.2,0.6206896551724139,1.0,1.0,no,no,yes,no,10.6000003814697,1,no,no
0.33,0.26,0.8,2.0,2.0,no,no,no,no,2.0,0,no,no
0.43,0.32,0.316091954022989,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.29,0.28,0.625,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.28,0.24,0.7835820895522391,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.4,0.18,0.604166666666667,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.37,0.22,0.786885245901639,3.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.33,0.33,0.512820512820513,3.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.28,0.24,0.796875,1.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.36,0.31,0.6310679611650489,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.45,0.18,0.87,1.0,1.0,yes,no,yes,yes,8.89999961853027,0,no,no
0.3,0.13,0.5,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.38,0.21,0.35398230088495597,1.0,1.0,no,no,yes,yes,3.9000000953674303,0,no,no
0.29,0.29,0.33333333333333304,1.0,1.0,no,no,no,yes,3.0999999046325697,0,no,no
0.33,0.31,0.576923076923077,1.0,1.0,no,no,yes,no,3.9000000953674303,0,no,no
0.21,0.21,0.46296296296296297,1.0,1.0,yes,no,no,no,3.20000004768372,0,no,no
0.31,0.22,0.712328767123288,1.0,2.0,no,no,no,no,1.79999995231628,1,yes,no
0.19,0.19,0.663366336633663,1.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.36,0.36,0.6111111111111109,2.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.35,0.28,0.6883720930232559,1.0,2.0,no,no,no,no,1.79999995231628,1,yes,no
0.37,0.28,0.887323943661972,5.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,no
0.34,0.28,0.792307692307692,2.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.33,0.27,0.8,2.0,2.0,no,no,no,no,3.20000004768372,1,no,no
0.31,0.3,0.470238095238095,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.345800018310547,0.345800018310547,0.565217391304348,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.42,0.32,0.9409090909090909,2.0,2.0,no,no,yes,no,4.30000019073486,0,yes,no
0.38,0.28,1.0,5.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.35,0.26,0.615384615384615,2.0,2.0,no,no,no,yes,3.0999999046325697,1,yes,no
0.33,0.27,0.605769230769231,3.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.24,0.24,0.8846153846153849,3.0,2.0,no,no,no,no,3.9000000953674303,1,yes,no
0.28090000152587896,0.239699993133545,0.876190476190476,1.0,2.0,no,no,no,yes,1.79999995231628,1,yes,no
0.32,0.32,0.732283464566929,1.0,2.0,no,no,no,yes,2.0,1,no,no
0.16,0.1,0.72,2.0,1.0,no,no,no,no,3.20000004768372,0,yes,no
0.25,0.13,0.8,1.0,1.0,no,no,yes,no,1.79999995231628,0,yes,no
0.35,0.32,0.8,1.0,2.0,no,no,yes,yes,3.20000004768372,1,no,no
0.38,0.3,0.523529411764706,1.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.32,0.31,0.80952380952381,1.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.35,0.23,0.7727272727272729,2.0,2.0,no,no,no,yes,3.20000004768372,0,yes,no
0.27,0.2,0.721461187214612,1.0,2.0,no,no,no,yes,3.20000004768372,0,yes,no
0.25,0.22,0.9047619047619051,1.0,2.0,no,no,no,no,3.9000000953674303,1,yes,no
0.29,0.22,1.01398601398601,3.0,2.0,no,no,no,no,3.0999999046325697,1,yes,no
0.271200008392334,0.271200008392334,0.647619047619048,4.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.32,0.27,0.8476190476190479,1.0,2.0,no,no,no,yes,2.0,1,yes,no
0.31,0.19,0.7714285714285709,2.0,2.0,no,no,no,yes,3.20000004768372,0,yes,no
0.37,0.23,0.8190476190476189,2.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.58,0.58,0.8190476190476189,4.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.33,0.27,0.8598130841121501,2.0,2.0,no,no,no,no,3.5999999046325697,1,yes,no
0.16,0.12,0.840625,2.0,1.0,no,no,no,yes,3.20000004768372,0,yes,no
0.38,0.31,0.8,3.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.34,0.31,0.7272727272727271,3.0,2.0,no,no,no,no,1.79999995231628,0,yes,no
0.39,0.26,0.9343715080563101,2.0,2.0,no,no,no,no,3.20000004768372,0,yes,yes
0.45,0.2,0.948453608247423,1.0,2.0,no,no,no,no,3.20000004768372,0,yes,yes
0.51,0.41,0.941176470588235,1.0,2.0,no,no,no,yes,5.300000190734861,0,yes,yes
0.43,0.33,0.794392523364486,6.0,2.0,yes,no,no,no,3.20000004768372,1,yes,yes
0.31,0.27,0.80952380952381,6.0,2.0,no,yes,no,yes,3.20000004768372,1,yes,yes
0.46,0.33,0.315789473684211,4.0,2.0,no,no,no,yes,1.79999995231628,0,yes,yes
0.24,0.24,0.9782608695652171,5.0,2.0,yes,no,no,yes,10.6000003814697,0,yes,yes
0.22,0.19,1.95,2.0,1.0,no,yes,no,no,3.20000004768372,1,yes,no
0.22,0.19,0.95,2.0,1.0,no,yes,no,no,4.30000019073486,1,yes,yes
0.18,0.05,0.1875,1.0,2.0,no,no,no,yes,2.0,1,yes,yes
0.66,0.31,0.902564102564103,2.0,2.0,no,no,no,yes,3.20000004768372,1,no,yes
0.59,0.24,0.941176470588235,3.0,2.0,no,yes,no,no,10.6000003814697,1,yes,yes
0.35,0.32,0.9405940594059409,3.0,2.0,yes,yes,no,yes,3.9000000953674303,1,yes,yes
0.52,0.51,0.949640287769784,4.0,2.0,no,yes,no,yes,3.20000004768372,0,yes,yes
0.42,0.27,0.8785714285714291,3.0,2.0,no,yes,no,no,3.20000004768372,0,yes,yes
0.41,0.34,0.9938734245481441,3.0,2.0,yes,yes,no,no,3.20000004768372,0,yes,yes
0.49,0.33,0.623762376237624,1.0,2.0,no,yes,no,no,3.20000004768372,1,yes,yes
0.46,0.36,0.7142857142857142,2.0,2.0,no,no,no,no,3.20000004768372,1,yes,yes
0.25,0.19,0.44799999999999995,1.0,2.0,no,no,no,yes,1.79999995231628,0,yes,yes
0.39,0.28,0.7526881720430111,5.0,2.0,yes,yes,no,yes,2.0,1,yes,yes
0.41,0.34,0.859375,5.0,2.0,no,yes,no,no,2.0,0,no,yes
0.26,0.26,0.75,4.0,2.0,no,no,no,yes,3.20000004768372,1,yes,yes
0.36,0.25,0.85,5.0,2.0,no,no,no,yes,3.20000004768372,1,yes,yes
0.39,0.34,0.897097625329815,5.0,2.0,no,no,no,yes,3.20000004768372,0,yes,yes
0.36,0.26,0.857142857142857,5.0,2.0,yes,no,no,yes,3.9000000953674303,1,yes,yes
0.252999992370605,0.23700000762939497,0.8173076923076921,6.0,2.0,yes,yes,no,yes,3.9000000953674303,1,yes,yes
0.83,0.49,0.9455782312925171,5.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,yes
0.34,0.23,0.9764705882352941,1.0,2.0,no,yes,no,no,2.0,0,yes,yes
0.26,0.26,0.5521472392638039,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.28,0.23,0.830769230769231,2.0,2.0,no,yes,yes,yes,3.20000004768372,0,no,yes
0.34,0.28,0.8035714285714292,1.0,2.0,no,no,no,yes,5.300000190734861,0,no,yes
0.37,0.23,0.69672131147541,1.0,1.0,no,no,no,yes,3.20000004768372,0,no,no
0.23,0.18,0.6083916083916079,2.0,1.0,no,no,yes,no,10.6000003814697,0,no,yes
0.31,0.26,0.818181818181818,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.36,0.27,0.6460176991150439,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.41,0.4,0.7346938775510201,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.31,0.3,0.7983870967741941,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.44,0.4,0.6735751295336789,2.0,1.0,no,no,no,no,5.300000190734861,0,no,no
0.37,0.28,0.22471910112359503,2.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.39,0.31,0.5,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.38,0.28,0.666666666666667,3.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.45,0.21,0.307692307692308,3.0,1.0,no,no,no,yes,4.30000019073486,1,no,no
0.34,0.31,0.636942675159236,1.0,2.0,no,no,no,no,2.0,0,no,no
0.34,0.22,0.8,3.0,1.0,no,no,no,yes,3.0999999046325697,1,no,no
0.36,0.32,0.6699669966996701,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.54,0.47,0.9561403508771931,6.0,2.0,yes,no,no,no,3.20000004768372,0,no,yes
0.35,0.22,0.8,1.0,1.0,no,no,no,no,3.20000004768372,1,no,no
0.33,0.22,0.795348837209302,5.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.35,0.3,0.795348837209302,1.0,1.0,no,no,no,no,5.300000190734861,0,no,no
0.31,0.28,0.652849740932642,1.0,3.0,no,no,no,no,3.9000000953674303,0,no,no
0.25,0.22,0.797546012269939,3.0,2.0,no,no,no,no,3.20000004768372,0,no,yes
0.37,0.27,0.8115942028985509,6.0,2.0,no,yes,no,no,3.9000000953674303,0,no,no
0.27,0.26,0.893939393939394,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.27,0.2,0.426470588235294,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.36,0.28,0.793103448275862,1.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.21,0.18,0.6,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.3,0.23,0.9,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
